Company,Work_Type,Rating,Category
FinEdge Enterprises,Civil Construction,4.4,Design
TechNova Solutions,Interior Design,3.1,Design
SkyHigh Enterprises,Digital Marketing,4.3,Education
VisionTech Pvt Ltd,Digital Marketing,3.0,Marketing
CloudLink Pvt Ltd,Cyber Security,4.9,Education
GreenLeaf Enterprises,Cyber Security,5.0,Marketing
BuildPro Enterprises,Web Development,3.6,IT Services
AdWise Enterprises,Mobile App Development,3.4,Infrastructure
InteriorHive Solutions,AI/ML Services,4.6,Finance
BrightPath Industries,Civil Construction,4.0,IT Services
CoreBuild Enterprises,Mobile App Development,3.0,Design
CyberMatrix Industries,AI/ML Services,4.5,Design
VisionTech Group,Mobile App Development,4.4,Finance
CoreBuild Pvt Ltd,Digital Marketing,3.4,IT Services
MarketGenius Pvt Ltd,Financial Consulting,3.8,Finance
FinEdge Solutions,Civil Construction,4.3,Finance
BuildPro Solutions,Cloud Services,4.5,Education
MarketGenius Solutions,Cloud Services,4.2,Infrastructure
CyberMatrix Industries,AI/ML Services,4.4,Infrastructure
MarketGenius Industries,Cloud Services,4.2,IT Services
BrightPath Enterprises,Interior Design,3.7,Education
CyberMatrix Pvt Ltd,Corporate Training,3.3,Finance
VisionTech Solutions,Digital Marketing,4.5,Design
CloudSphere Industries,Web Development,4.5,Marketing
MegaBuild Solutions,AI/ML Services,3.7,Finance
BuildPro Enterprises,Cyber Security,3.2,IT Services
CoreBuild Industries,Cloud Services,3.6,Marketing
CloudSphere Group,AI/ML Services,4.5,Marketing
CloudSphere Enterprises,Civil Construction,4.5,IT Services
NextGen Solutions,Cloud Services,3.3,Infrastructure
VisionTech Solutions,Web Development,4.3,IT Services
GreenLeaf Industries,Web Development,3.9,Design
AdWise Enterprises,Interior Design,3.7,Marketing
VisionTech Industries,Interior Design,4.1,Education
BrightPath Industries,Corporate Training,3.1,Infrastructure
FinEdge Industries,Cyber Security,4.8,IT Services
InteriorHive Industries,Web Development,3.2,Marketing
CloudSphere Industries,Cloud Services,3.4,Finance
BuildPro Solutions,Interior Design,3.1,Marketing
BrightPath Industries,Corporate Training,3.7,Finance
AlphaWorks Solutions,Cloud Services,3.3,IT Services
GreenLeaf Enterprises,Cyber Security,4.9,IT Services
CloudSphere Group,Civil Construction,3.7,Infrastructure
SkyHigh Pvt Ltd,AI/ML Services,4.6,Design
TechNova Pvt Ltd,Financial Consulting,4.1,Infrastructure
SkyHigh Industries,AI/ML Services,4.4,Finance
PrimeLogics Group,Cloud Services,4.7,Design
